gp CRC adenoma NAFLD CD PD IGT T2D GDM UC ACVD LC RA atherosclerosis T1D "acute diarrhea" VKH SPA ME_CFS melanoma BD NSCLC RCC "small adenoma" "large adenoma" "advanced adenoma"
msp_0090 0.030638262321280106 0.0250944420213758 -0.050006494428586096 0.03352199661642889 -0.05319030825787113 0.07469489963010652 -0.06000392825655612 -0.009490751047484793 0.003058243637738306 -0.02533162389462235 -0.028072746432006024 0.03377794642889168 -0.00998418605798099 0.012393967037930493 0.0005224074074073994 0.2162002168333915 -0.004336368237390309 -0.02026419438108469 -0.0021442192894949655 -0.02689115303860553 0.03414786762433526 0.013441477662819166 0.004607088121876761 0.006474905993956268 -0.1948592312614483
msp_0196 0.12544927788680654 -0.06072873466264328 -0.10689505361423304 0.0014979005893344828 -0.02714728341186772 -0.006413041595105836 0.09255292790069229 0.020463578383728843 -0.01618120440770971 0.09707642480645211 -0.006564513952737137 0.009690222629206251 -0.0021752617238728353 -0.0839062796169036 0.027632635882635877 0.19274777377730024 -0.02072451285846815 -0.0028618700634018453 -0.03586416395135289 -0.06753839395721928 0.002946207278693145 0.1620248084717077 -0.012046172059886657 -0.005190344433553575 -0.04484455685941407
msp_0064 0.10815637504118779 -0.05166547873807153 -0.012330057254406298 -0.004830666521164247 -0.004096743120311623 -0.007144602973270861 -0.06209806640405228 0.002166526374859709 -0.0014635262941082962 0.15195048496222202 -0.0040831974291328085 -0.02747500360702358 0.0 -0.010789246102978744 0.0030208754208754214 -0.0035931269902012646 -0.038461098441961 -0.006506757628129108 -0.030851676213718374 -0.0032988758553274718 -0.010960991737544938 0.00746958960830193 -0.003351734847747351 -0.009874142215808884 -0.004521949129666144
msp_0370 -0.0321349303828702 -0.005336866450626726 0.016398349705008388 0.0 0.006363324318701903 0.013011716763627059 0.00041365020231851085 0.0 0.0 0.013918471803645098 -0.005620808150476658 -0.027284841973804996 0.006104217387550721 -0.002649022003700388 0.0 -0.005984956571313233 -0.09125379494613826 -0.009279505426797814 -0.0011599238185126739 0.004909739639621043 0.02561171226417302 0.008848183197034771 0.003131299296224844 -0.0033102453102453106 0.01713198765442336
msp_0200 0.03620623962666285 0.0033939501262063325 -0.056468803993835734 -0.0079511916133717 0.0 0.0 0.09194671842549228 0.0 0.0 0.009092888815422627 0.026628606980672976 -0.006800316771435709 0.0 0.01151728481500036 0.0 -0.0006638873660445841 -0.00902696298040849 0.004689583336927517 -0.007301036177416464 0.0 0.0429156173806805 -0.009780546702820874 0.0 0.0 0.046256428751970516
msp_0107 0.09811428343731227 0.01347013651280762 0.2098877913203283 -0.10146030508924864 0.015083627920431268 -0.02757677783289487 -0.03901308544020276 0.009474005117577605 -0.010432573287640717 0.025146559041693835 -0.008624352163277093 -0.1073099480272837 0.011771476103261812 0.02489607611119515 -0.027286916786916797 -0.1882274246516767 0.023512945618987206 -0.025376290025536003 -0.027244006335615183 0.07196181703395674 -0.009581339173893918 -0.02695997425898521 -0.0047680298049311435 0.004222146174276536 -0.044393540922206
msp_0554 0.13097394531042306 -0.06620324397335306 -0.029432005717005102 0.00492309487498545 -0.007717259179713586 0.0056223981770768625 0.017528267891937302 0.030442847033259262 0.004630734789235646 0.06629435871645402 -0.011000641106714292 -0.00903574232294605 0.002296296296296297 0.022735545324733215 0.0 -0.043182144923843854 -0.042722297529679244 -0.020819527143434 -0.008227004270930897 0.02727699597319024 -0.004838242785203731 -0.024049977775438873 -0.006509322483620506 -0.0014367794486215542 0.008783770151595859
msp_0242 -0.043107692774606673 -0.004262449350320749 0.11045345545819892 0.002838008437850729 0.001056079994234868 -0.0046242922374429216 0.002138410145157521 -0.004605709876543209 0.007907972013254086 -0.016421500372524562 0.034294067267271966 -0.001567701353189114 0.0 0.0 0.0 -0.020089260897048197 0.003866336366983573 -0.0019684683308019077 0.003918489597811712 -0.002850813550971445 0.03296178754377431 0.008465215807946597 0.0 0.0 0.0
msp_0170 0.008947608553374687 0.07693737566035663 0.009767677956220116 0.0 0.03255131103593975 0.0 -0.01846539853762964 0.005531011169900057 0.0 0.023182152417804996 -0.1573021069737064 0.011811909459849458 -0.0010555555555555555 0.0004250015719251213 0.0 0.0 -0.007035033384983604 -0.0010637743784023784 -0.0005307182940516282 0.0 0.14162783251879255 0.031095833365367698 -0.0016674904362475847 -0.0013973841109870529 0.005381051237011668
msp_0199 0.10743144523188043 -0.025556547042412506 -0.013323956736006169 0.0031724829231877085 0.008093846691825406 -0.019566892758184493 -0.12421184038250015 -0.04044783302216712 -0.0034322569467830936 0.1258948159353383 -0.03300916288684033 -0.007437217010661526 0.0018047349009015679 0.007474224377987024 -0.0007311111111111108 -0.031315392003695874 0.03303350160017531 -0.015595852086182471 0.007093117131854262 -0.028370252282593992 -0.06444175782198369 -0.01618093894487039 -0.013039930780042373 -0.0013322601010101016 -0.0035514080464994885
