category,CV,CV,CV,Cancer,Cancer,Cancer,Cancer,Cancer,Cancer,Cancer,Cancer,Cancer,Cancer,Cancer,Cancer,Cancer,Cancer,Cancer,Cancer,Hyperglycaemia,Hyperglycaemia,Hyperglycaemia,Hyperglycaemia,Hyperglycaemia,Hyperglycaemia,IBD,IBD,Infection,Inflammatory,Inflammatory,Inflammatory,Inflammatory,LiverD,LiverD,LiverD,LiverD,LiverD,PD,UC,VKH
cohort,ACVD:CHN:PRJEB21528,atherosclerosis:SWE:PRJNA177201,ob:DNK:PRJEB4336,CRC:AUT:PRJEB7774,CRC:CHN:PRJEB10878,CRC:FRA:PRJEB6070,CRC:GER:PRJEB27928,CRC:GER:PRJEB6070,CRC:ITA:PRJNA447983,CRC:JPN:PRJDB4176,CRC:USA:PRJEB12449,NSCLC:FRA:PRJEB22863,RCC:FRA:PRJEB22863,adenoma:ITA:PRJNA447983,adenoma:JPN:PRJDB4176,advanced adenoma:AUT:PRJEB7774,large adenoma:FRA:PRJEB6070,melanoma:USA:PRJNA397906,small adenoma:FRA:PRJEB6070,GDM:CHN:PRJEB18755,IGT:SWE:PRJEB1786,T1D:LUX:PRJNA289586,T2D:CHN:PRJNA422434,T2D:ESP:PRJNA361402,T2D:SWE:PRJEB1786,CD:CHN:PRJEB15371,CD:ESP:PRJEB2054,acute diarrhea:USA:PRJNA321753,BD:CHN:PRJNA431482,ME/CFS:USA:PRJNA379741,RA:CHN:PRJEB6997,SPA:CHN:PRJNA375935,LC:CHN:PRJEB6337,LC:GBR:PRJEB38481,NAFLD:ESP:PRJEB14215,NAFLD:ITA:PRJEB14215,NAFLD:USA:PRJNA373901,PD:GER:PRJEB17784,UC:ESP:PRJEB2054,VKH:CHN:PRJNA356225
msp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
msp_0009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0277399180771524,0.0,0.0,0.0,0.0,0.0206596368614295,0.0105511985921774,0.0,0.0727334441325725,0.0,0.0649477355736086,0.0,0.0,0.0,0.0,0.0705841027789253,0.0,0.0480360612926806,0.1074228778108037,0.0,0.0,0.0,0.0509864300208112,0.0,0.0,0.0,0.1296908229118116
msp_0010,0.0,0.0664944772919546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1008665983284866,0.0154539873074731,0.0708520228467488,0.0,0.0490746334647438,0.0,0.0,0.0112730679792815,0.0,0.0,0.0,0.0,0.0,0.0487270145679302,0.0075617125658753,0.0,0.0,0.0,0.0,0.1051435346287262,0.0257647893176175,0.0,0.0
msp_0011,0.006809057874414,0.1829303096464632,0.0060278969399744,0.0,0.0060720577797426,0.0,0.0,0.0,0.0,0.0,0.0170679241382566,0.0,0.0,0.0,0.0029007042298664,0.0591479478247181,0.0,0.046920559275487,0.0095451816100856,0.0468679796035624,0.1574938310329325,0.1511212879714864,0.0,0.061048336455497,0.1259394419652818,0.0,0.0,0.0,0.0060650471244191,0.0,0.1237706964134648,0.0449752983285277,0.0,0.0,0.0509751459215343,0.0,0.0520393892145183,0.0430664336163587,0.0,0.0334382830783247
msp_0012,0.0868724237069436,0.2758916056257344,0.0,0.0,0.0,0.0,0.0248759528005527,0.0,0.0,0.0,0.0,0.0,0.0,0.2170976194846735,0.0,0.0925032028012365,0.0,0.027459994150186,0.155541598662999,0.0,0.0396120160473194,0.0,0.0,0.0,0.1729978123970292,0.0,0.0,0.0911700758968728,0.0,0.052736011081207,0.0303818942631177,0.0424115203083616,0.0,0.0051031289370242,0.0,0.0,0.104525686470189,0.0,0.2379248182439902,0.0
msp_0013,0.0328951933331065,0.3122827575246055,0.0,0.0,0.0810008725785276,0.0629871452736316,0.1609592852740771,0.1702540580345114,0.0642879022526208,0.1148920263622729,0.0117528176082896,0.0595921875511751,0.0,0.2630310958911794,0.1138549152797775,0.1568085202562345,0.0,0.1329851629032844,0.1974022801017605,0.0,0.0152498225236732,0.0,0.095117625909493,0.2997249264543879,0.0,0.2704663859384417,0.0,0.0,0.0752311495691054,0.0695373951086084,0.0,0.0201865348696385,0.0904339134291176,0.1914572743727295,0.2277227304819023,0.0132965719153024,0.0630195114966863,0.0,0.3873662995830305,0.0607075835669199
msp_0014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0593881991051677,0.0,0.0281289958798241,0.0,0.1406009511026877,0.0,0.0244686904312766,0.2558831578595794,0.0066802119452547,0.0432215575924107,0.0,0.0,0.1344411033207894,0.0773395765297651,0.0,0.1131641543409661,0.0916338237156091,0.0,0.0,0.2045527849769878,0.130769285492653
msp_0015,0.1540631358130037,0.0,0.0,0.0467803154142316,0.087378828502254,0.0959920715834438,0.0753126327196381,0.205416122509764,0.1322557170198244,0.1455786819675839,0.0,0.1280112197400697,0.0842846054573552,0.2346422817689258,0.0,0.0150479534332744,0.0203528147902531,0.12332419575191,0.0,0.0,0.0,0.4486769804362725,0.1685790723855068,0.0221369813164994,0.0226760768226002,1.0,0.4339630366027461,0.0,0.1015907299083822,0.0,0.0,0.0307154073622205,0.2390388313513076,0.1381304839627087,0.0,0.0,0.003447696306342,0.2901440767932262,0.0,0.1189085008121587
msp_0016,0.0761876217040899,0.0024975359752301,0.0,0.0,0.1380945465782378,0.0,0.1309554206839416,0.0,0.0492115070204646,0.0,0.0,0.1471748114130209,0.0891011105605329,0.0481416797817294,0.0408119681623112,0.0,0.0,0.0,0.0,0.0,0.2398976595723277,0.1524253487552656,0.1542567951167977,0.2197966438848047,0.0,0.1194477415122438,0.1628347368197324,0.0,0.0,0.0,0.1073887463359059,0.0,0.0,0.1162245282983525,0.0212690807775037,0.0,0.0,0.0812947065948118,0.3161270313280721,0.0
msp_0017,0.1809298956335848,0.1338645660432557,0.0,0.1001674217196814,0.1452223045764403,0.1785718036108111,0.3169174771092251,0.300140715354296,0.0864143774885599,0.1258494637338764,0.0,0.0,0.1703127023654486,0.2039782480044262,0.0,0.0622566010537797,0.0737120513258269,0.0,0.0110729704747143,0.0343286036878456,0.0219666634444226,0.2466237707033816,0.2608616223341994,0.0,0.0629448938162716,0.2757584694741531,0.0215165741455967,0.0,0.0665174746769289,0.0168234006963177,0.0,0.0,0.1212819224373807,0.0284910345881142,0.0,0.0,0.0,0.2299781863366061,0.153472209237583,0.0268815097538571
msp_0018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0030538439266839,0.0,0.0,0.0,0.0,0.0517385827719894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1672236321158163,0.0,0.0,0.0975900072948533,0.0,0.0269021050631191,0.0,0.0,0.1334756103009781,0.0817367400730557,0.0413034262579502,0.1511081290716449,0.1587570980996908,0.0,0.0035885109281033,0.0398671906928582,0.0847605009952769
