category,CV,CV,CV,Cancer,Cancer,Cancer,Cancer,Cancer,Cancer,Cancer,Cancer,Cancer,Cancer,Cancer,Cancer,Cancer,Cancer,Cancer,Cancer,Hyperglycaemia,Hyperglycaemia,Hyperglycaemia,Hyperglycaemia,Hyperglycaemia,Hyperglycaemia,IBD,IBD,Infection,Inflammatory,Inflammatory,Inflammatory,Inflammatory,LiverD,LiverD,LiverD,LiverD,LiverD,PD,UC,VKH
cohort,ACVD:CHN:PRJEB21528,atherosclerosis:SWE:PRJNA177201,ob:DNK:PRJEB4336,CRC:AUT:PRJEB7774,CRC:CHN:PRJEB10878,CRC:FRA:PRJEB6070,CRC:GER:PRJEB27928,CRC:GER:PRJEB6070,CRC:ITA:PRJNA447983,CRC:JPN:PRJDB4176,CRC:USA:PRJEB12449,NSCLC:FRA:PRJEB22863,RCC:FRA:PRJEB22863,adenoma:ITA:PRJNA447983,adenoma:JPN:PRJDB4176,advanced adenoma:AUT:PRJEB7774,large adenoma:FRA:PRJEB6070,melanoma:USA:PRJNA397906,small adenoma:FRA:PRJEB6070,GDM:CHN:PRJEB18755,IGT:SWE:PRJEB1786,T1D:LUX:PRJNA289586,T2D:CHN:PRJNA422434,T2D:ESP:PRJNA361402,T2D:SWE:PRJEB1786,CD:CHN:PRJEB15371,CD:ESP:PRJEB2054,acute diarrhea:USA:PRJNA321753,BD:CHN:PRJNA431482,ME/CFS:USA:PRJNA379741,RA:CHN:PRJEB6997,SPA:CHN:PRJNA375935,LC:CHN:PRJEB6337,LC:GBR:PRJEB38481,NAFLD:ESP:PRJEB14215,NAFLD:ITA:PRJEB14215,NAFLD:USA:PRJNA373901,PD:GER:PRJEB17784,UC:ESP:PRJEB2054,VKH:CHN:PRJNA356225
msp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
msp_0020,0.1365873929208893,0.2707518711295845,0.0,0.0819977937563538,0.1337697908657866,0.157645318157885,0.1604236299437741,0.2193194978153948,0.0,0.0,0.2937682239634932,0.4446434402407469,0.2391514563511718,0.0096283359563458,0.0,0.0023550047001194,0.0,0.3185694383629306,0.0958351025430646,0.0052906131113167,0.3843459778417624,0.0178066275003311,0.1394159842786538,0.0,0.3359692160377137,0.2070306821970146,0.7563225565351139,0.0748720584462488,0.0,0.2345072994839737,0.0,0.0,0.0364019488216607,0.3280365287243211,0.0856128448811519,0.0,0.2855632264784228,0.0,0.081981129252959,0.0
msp_0021,0.0,0.0,0.0,0.227445538130453,0.0,0.0,0.2157391891724928,0.1130800614093896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0518222485792339,0.040873416218794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0394213630247577,0.1399315754869801,0.0,0.0858122226493726,0.0,0.0
msp_0022,0.0,0.0,0.0,0.0,0.0,0.0565181748954311,0.0,0.0386428323396679,0.0246525351756273,0.0972238374684949,0.0286452846686036,0.062744098510577,0.1090223434984884,0.0387738016489621,0.0376250936871925,0.1010895340275116,0.0933799000150984,0.014439565789083,0.1310921096300775,0.0035169055993167,0.0,0.0,0.0,0.2594186562598887,0.0437647256232799,0.0,0.0,0.0,0.0853420177857783,0.1009975066198571,0.0270888599964519,0.0,0.0,0.0,0.1993984519164229,0.2625869963537013,0.0729548952471602,0.1089998943764932,0.0893076845591524,0.074942010075948
msp_0023,0.0,0.0,0.0,0.2405775072899184,0.0785653952512046,0.0,0.0531414637836808,0.0,0.0440576952603169,0.1041552326802201,0.017166310087726,0.0882215508028739,0.2116640536880603,0.0,0.091459354547174,0.0497871828773544,0.139959564990658,0.0,0.0171502684307091,0.0,0.0,0.0,0.053147369474777,0.0614343016956199,0.0,0.0,0.0,0.0,0.0159011532149891,0.034579104793394,0.0566980610169154,0.0099465017241316,0.0964953802526336,0.0,0.1344580842207331,0.2280740635205349,0.0,0.0707189040576853,0.060256979935138,0.0614059004334535
msp_0024,1.0,0.134172963273991,0.0,0.2353510838622417,0.1783085042463591,0.2166236524533585,0.2059281279279653,0.2603635968985167,0.1415392369879324,0.0493295690050194,0.2700904200648132,0.3662451299681768,0.255094229323306,0.0,0.0,0.0,0.1246202418650992,0.2861584604635029,0.0819605055675322,0.0056589852611604,0.1883285705737154,0.0331450418605269,0.154459894049363,0.0,0.1430439009230402,0.0981087207390898,0.5350284209791206,0.0040298772190346,0.0,0.2209809673530185,0.0,0.0,0.1693225274839102,0.3372110626256266,0.0,0.0,0.1302988022137549,0.1033055191588962,0.0,0.0
msp_0025,0.1457160240799271,0.0869848232929275,0.0,0.1541037257225868,0.2261817899919445,0.1161553717731022,0.1161282888238177,0.1101754757305968,0.0,0.0189178471017586,0.0282029552819305,0.0,0.0193592359653229,0.0,0.0341560327140099,0.0117479800685208,0.188035044150046,0.0696064702295412,0.0506161103105022,0.0268455282689566,0.0,0.1160076465118442,0.0078719700652066,0.0,0.0,0.0,0.0,0.0,0.0354820667111633,0.1891600797952223,0.0675000576605041,0.0,0.0112660465638243,0.0,0.0,0.0,0.0376720526270067,0.4332727560758769,0.0,0.0152047773225617
msp_0026,0.0,0.0532180683358114,0.0,0.1658849375992596,0.0,0.0,0.0,0.0,0.0842042069460741,0.0707423625730652,0.1076303767139088,0.0,0.0296869928756093,0.0,0.1014038525731523,0.1709602413700564,0.0471195218262237,0.0630030820764798,0.0,0.0760157291833908,0.0,0.0,0.0,0.2142861871655065,0.0,0.0,0.0,0.0,0.1461976903838109,0.0746735122079411,0.0,0.0327826853500021,0.0244695687734732,0.0,0.1508318341193898,0.0706051921747845,0.0,0.0,0.2990039301964364,0.1738067664964023
msp_0027,0.0,0.0,0.0041069737693929,0.336289207752415,0.0,0.1991317564931947,0.0,0.0521363824220542,0.0,0.0704280237238938,0.0,0.1693460585811734,0.2990555391421753,0.0189035097566858,0.01017960928163,0.0,0.0552535572884138,0.0,0.1152276772290828,0.0846549869283467,0.0,0.0861697512096152,0.0,0.0092735814012442,0.0,0.0,0.0,0.0,0.0159635036779012,0.0,0.0591009512164136,0.0828235720714824,0.0,0.0,0.015903613618823,0.0780151362942779,0.0,0.0093661062840351,0.1364197415445182,0.1093679834183804
msp_0028,0.027679767258762,0.0610187059574774,0.0,0.0258574846078177,0.0486147071224857,0.0,0.1163269169666344,0.0726424033372366,0.0024611245584074,0.1180416158316257,0.1266549257071778,0.0,0.0,0.0,0.0764110030077769,0.1458314465580046,0.0,0.1445001031387406,0.0,0.0848472452600306,0.0,0.0,0.0559776971725214,0.0,0.0,0.0,0.0,0.0,0.0,0.0444612313520919,0.0,0.0,0.0,0.0,0.0,0.0146812395681984,0.0,0.0,0.0,0.0
msp_0029,0.0,0.0,0.0,0.1335841934107899,0.0,0.0,0.0,0.0,0.0,0.0,0.0363898744750953,0.0,0.0,0.0,0.0,0.0683842229642744,0.0,0.0,0.0,0.0101449188326539,0.0,0.0059177154505112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0064369430983991,0.0312211091040038,0.0,0.0,0.0,0.0,0.2718118354334004,0.0
