,NW,W
msp_0218,0.7004406725165767,-0.40859039230133615
msp_0219,-0.36249516097611645,0.21145551056940123
msp_0220,-0.881640390832323,0.5142902279855216
msp_0221,-0.6054736815002307,0.35319298087513457
msp_0222,-0.8291373863754894,0.4836634753857021
msp_0223,-0.26148218423165537,0.15253127413513232
msp_0224,1.12125499803146,-0.6540654155183513
msp_0225,-0.5743890798261686,0.3350602965652647
msp_0226,-0.06756281206347045,0.039411640370357874
msp_0227,-0.6249916062991053,0.36457843700781134
msp_0228,-0.19899913338214556,0.11608282780625144
msp_0229,1.0183843868080282,-0.5940575589713498
msp_0230,-0.7952833966770719,0.4639153147282918
msp_0231,-0.33596834684676546,0.19598153566061327
msp_0232,-0.7108572391304457,0.41466672282609324
msp_0233,-0.7133573252251753,0.4161251063813521
msp_0234,-0.6595769838461203,0.3847532405769036
msp_0235,-0.18623340822434567,0.10863615479753495
msp_0236,-0.8944754935664824,0.5217773712471145
msp_0237,0.5527200516499565,-0.32242003012914155
msp_0238,-0.5795072385050125,0.33804588912792394
msp_0239,-0.4115516461053133,0.24007179356143285
msp_0240,0.5532865177729079,-0.32275046870086327
msp_0241,-0.1736753082984406,0.10131059650742363
msp_0242,-0.6397474746350562,0.3731860268704496
msp_0243,-0.39543682634790017,0.23067148203627527
msp_0244,-0.17304397644296682,0.1009423195917309
msp_0245,0.25394270934306895,-0.14813324711679024
msp_0246,-0.5855743159033598,0.3415850176102932
msp_0247,0.3243970926907039,-0.1892316374029106
msp_0248,0.4148944459914468,-0.2420217601616773
msp_0249,-0.6351436233665037,0.37050044696379364
msp_0250,-0.6629858030236282,0.38674171843044963
msp_0251,0.8833291681901024,-0.5152753481108933
msp_0252,-0.6121584425605685,0.3570924248269982
msp_0253,-0.540761215733273,0.3154440425110759
msp_0254,-0.7613146793531049,0.4441002296226446
msp_0255,0.2336425450598064,-0.1362914846182203
msp_0256,-0.3364785358568075,0.19627914591647092
msp_0257,0.8078122970428462,-0.4712238399416602
msp_0258,-0.0560464515144375,0.03269376338342133
msp_0259,-0.5702716294053313,0.33265845048644277
msp_0260,-0.6681660048724505,0.38976350284226297
msp_0261,0.8267338096961631,-0.4822613889894285
msp_0262,0.31330773248976174,-0.18276284395236153
msp_0263,0.09276428079073065,-0.0541124971279262
msp_0264,0.933107281091309,-0.544312580636597
msp_0265,0.18184169904787653,-0.10607432444459469
msp_0266,-0.5465078789773316,0.31879626273677686
msp_0267,-0.5432742465797291,0.31690997717150876
msp_0268,-0.5395186605458616,0.31471921865175273
msp_0269,0.6339852917549204,-0.36982475352370364
msp_0270,-0.6048819605010737,0.3528478102922931
msp_0271,-0.30702916703084593,0.17910034743466027
