msp_0076,0.7555762448470976,0.24442375515290238
msp_0077,0.5402620858709488,0.4597379141290512
msp_0078,0.15361873880974225,0.8463812611902577
msp_0079,0.8922893511085153,0.10771064889148474
msp_0080,0.08514615544744941,0.9148538445525506
msp_0081,0.24301795882068317,0.7569820411793169
msp_0082c,0.40472648087245244,0.5952735191275476
msp_0083,0.7671103928449291,0.2328896071550709
msp_0084,0.03446508573493212,0.9655349142650679
msp_0085,0.7538302564285929,0.24616974357140708
msp_0086,0.7658176092028219,0.23418239079717806
msp_0087,0.5972960069529581,0.40270399304704185
msp_0088,0.7040840411879516,0.29591595881204835
msp_0089,0.7794942691242507,0.22050573087574932
msp_0090,0.8427357517438412,0.1572642482561588
msp_0091,0.0,1.0
msp_0092,0.760182846516656,0.23981715348334398
msp_0093,0.8831558737896923,0.11684412621030771
msp_0094,0.2731752577780684,0.7268247422219316
msp_0095,0.7527983685351033,0.2472016314648967
msp_0096,0.7722951908291209,0.2277048091708791
msp_0097,0.7730501151939666,0.2269498848060334
msp_0098,0.6853430176161285,0.3146569823838715
msp_0099,0.708271515098076,0.29172848490192405
msp_0100,0.613885482375464,0.38611451762453597
msp_0101,0.7596526127927429,0.24034738720725712
msp_0102,0.6196558538839392,0.3803441461160608
msp_0103,0.7247828390094755,0.2752171609905245
msp_0104,0.8450521949178005,0.15494780508219952
msp_0105,0.40720625426527274,0.5927937457347272
msp_0106,0.6445169487905371,0.3554830512094629
msp_0107,0.8344470550245264,0.16555294497547357
msp_0108,0.37289091472250085,0.6271090852774992
msp_0109,0.89867966297504,0.10132033702496002
msp_0110,0.787918775241452,0.21208122475854796
msp_0111,0.7677640304358695,0.2322359695641305
msp_0112,0.8666485489944811,0.13335145100551893
