	NW	W	region
msp_0209	0.6034271826527504	-0.351999189880771	NW
msp_0210	-0.850727286276359	0.4962575836612096	W
msp_0211	-0.3947030782923632	0.2302434623372116	W
msp_0212	-0.9291049344114277	0.5419778784066664	W
msp_0213	-0.6296377024371428	0.3672886597550002	W
msp_0214	-0.7571961019535546	0.4416977261395736	W
msp_0215	0.07525017744413763	-0.043895936842413746	NW
msp_0216	-0.47485920614603944	0.2770012035851897	W
msp_0217	-0.48173292227602355	0.2810108713276804	W
msp_0218	0.7196343816516989	-0.4197867226301573	NW
msp_0219	-0.3724283743882775	0.2172498850598287	W
msp_0220	-0.905799395138302	0.5283829804973427	W
msp_0221	-0.6220650734448668	0.36287129284283887	W
msp_0222	-0.851857685826361	0.49691698339871043	W
msp_0223	-0.26864740633408835	0.1567109870282182	W
msp_0224	1.1519800017940136	-0.6719883343798411	NW
msp_0225	-0.5901286811388164	0.3442417306643093	W
msp_0226	-0.06941419079400302	0.04049161129650201	W
msp_0227	-0.642117834934713	0.37456873704524923	W
msp_0228	-0.20445217406659819	0.11926376820551544	W
msp_0229	1.0462904957407306	-0.6103361225154263	NW
msp_0230	-0.8170760178008122	0.4766276770504736	W
msp_0231	-0.3451746636427565	0.20135188712494137	W
msp_0232	-0.7303363865012643	0.42602955879240406	W
msp_0233	-0.7329049807897607	0.4275279054606937	W
msp_0234	-0.6776509325428444	0.3952963773166593	W
msp_0235	-0.19133663824646568	0.11161303897710506	W
msp_0236	-0.9189862096423018	0.5360752889580093	W
msp_0237	0.567865871018788	-0.33125509142762655	NW
msp_0238	-0.5953870893103635	0.3473091354310454	W
msp_0239	-0.422829121699421	0.246650320991329	W
msp_0240	0.5684478596355429	-0.3315945847874003	NW
msp_0241	-0.17843441707414356	0.1040867432932503	W
msp_0242	-0.65727804850073	0.3834121949587594	W
msp_0243	-0.40627271827143463	0.23699241899167034	W
msp_0244	-0.1777857852524098	0.10370837473057264	W
msp_0245	0.26090133223771594	-0.15219244380533423	NW
msp_0246	-0.6016204187889418	0.3509452442935494	W
