,values,ind
1484,ERS1424313,ET-Firmicutes
1485,ERS1424314,ET-Firmicutes
1486,ERS1424315,ET-Firmicutes
1487,ERS1424317,ET-Firmicutes
1488,ERS1424318,ET-Firmicutes
1489,ERS1424319,ET-Firmicutes
1490,ERS1424320,ET-Firmicutes
1491,ERS1424321,ET-Firmicutes
1492,ERS1424322,ET-Firmicutes
1493,ERS1424323,ET-Firmicutes
1494,ERS1424324,ET-Firmicutes
1495,ERS1424325,ET-Firmicutes
1496,ERS1424326,ET-Firmicutes
1497,ERS1424327,ET-Firmicutes
1498,ERS1424328,ET-Firmicutes
1499,ERS1424329,ET-Firmicutes
1500,ERS1424330,ET-Firmicutes
1501,ERS1424331,ET-Firmicutes
1502,ERS1424332,ET-Firmicutes
1503,ERS1424333,ET-Firmicutes
1504,ERS1424334,ET-Firmicutes
1505,ERS1424335,ET-Firmicutes
1506,ERS1424336,ET-Firmicutes
1507,ERS1424338,ET-Firmicutes
1508,ERS1424339,ET-Firmicutes
1509,ERS1424341,ET-Firmicutes
1510,ERS1424342,ET-Firmicutes
1511,ERS1424343,ET-Firmicutes
1512,ERS1424344,ET-Firmicutes
1513,ERS1424346,ET-Firmicutes
1514,ERS1424347,ET-Firmicutes
1515,ERS1424348,ET-Firmicutes
1516,ERS1424349,ET-Firmicutes
1517,ERS1424350,ET-Firmicutes
1518,ERS1424351,ET-Firmicutes
1519,ERS1424352,ET-Firmicutes
1520,ERS1424353,ET-Firmicutes
1521,ERS1424354,ET-Firmicutes
1522,ERS1424355,ET-Firmicutes
1523,ERS1424356,ET-Firmicutes
1524,ERS1424357,ET-Firmicutes
1525,ERS1424358,ET-Firmicutes
1526,ERS1424359,ET-Firmicutes
1527,ERS1424360,ET-Firmicutes
1528,ERS1424361,ET-Firmicutes
1529,ERS1424362,ET-Firmicutes
1530,ERS1424363,ET-Firmicutes
1531,ERS1424364,ET-Firmicutes
1532,ERS1424365,ET-Firmicutes
1533,ERS1424366,ET-Firmicutes
1534,ERS1424367,ET-Firmicutes
1535,ERS1424368,ET-Firmicutes
1536,ERS1424369,ET-Firmicutes
1537,ERS1424370,ET-Firmicutes
1538,ERS1424371,ET-Firmicutes
1539,ERS1424372,ET-Firmicutes
1540,ERS1424374,ET-Firmicutes
1541,ERS1424375,ET-Firmicutes
1542,ERS1424376,ET-Firmicutes
1543,ERS1424377,ET-Firmicutes
1544,ERS1424378,ET-Firmicutes
1545,ERS1424379,ET-Firmicutes
1546,ERS1424380,ET-Firmicutes
1547,ERS1424381,ET-Firmicutes
1548,ERS1424382,ET-Firmicutes
1549,ERS1424383,ET-Firmicutes
1550,ERS1424384,ET-Firmicutes
1551,ERS1424385,ET-Firmicutes
1552,ERS1424386,ET-Firmicutes
1553,ERS1424387,ET-Firmicutes
1554,ERS1424388,ET-Firmicutes
1555,ERS1424391,ET-Firmicutes
1556,ERS1424392,ET-Firmicutes
1557,ERS1424393,ET-Firmicutes
1558,ERS1424395,ET-Firmicutes
1559,ERS1424396,ET-Firmicutes
1560,ERS1424397,ET-Firmicutes
1561,ERS1424399,ET-Firmicutes
1562,ERS1424400,ET-Firmicutes
1563,ERS1424401,ET-Firmicutes
1564,ERS1424402,ET-Firmicutes
1565,ERS1424403,ET-Firmicutes
1566,ERS1424404,ET-Firmicutes
1567,SRS367799,ET-Firmicutes
1568,SRS367802,ET-Firmicutes
1569,SRS367827,ET-Firmicutes
1570,SRS367828,ET-Firmicutes
1571,SRS367829,ET-Firmicutes
1572,SRS367830,ET-Firmicutes
1573,SRS367846,ET-Firmicutes
1574,SRS367847,ET-Firmicutes
1575,SRS367848,ET-Firmicutes
1576,SRS367851,ET-Firmicutes
1577,SRS367852,ET-Firmicutes
1578,SRS367853,ET-Firmicutes
1579,SRS367854,ET-Firmicutes
1580,SRS367855,ET-Firmicutes
1581,SRS367856,ET-Firmicutes
1582,SRS367857,ET-Firmicutes
1583,SRS367858,ET-Firmicutes
1584,SRS367859,ET-Firmicutes
1585,SRS367860,ET-Firmicutes
1586,SRS367861,ET-Firmicutes
1587,SRS367862,ET-Firmicutes
1588,SRS367863,ET-Firmicutes
1589,SRS367864,ET-Firmicutes
1590,SRS367865,ET-Firmicutes
1591,SRS367866,ET-Firmicutes
1592,SRS475681,ET-Firmicutes
1593,SRS475589,ET-Firmicutes
1594,SRS476013,ET-Firmicutes
1595,SRS820585,ET-Firmicutes
1596,SRS820586,ET-Firmicutes
1597,SRS820588,ET-Firmicutes
1598,SRS820589,ET-Firmicutes
1599,SRS820590,ET-Firmicutes
1600,SRS820593,ET-Firmicutes
1601,SRS820595,ET-Firmicutes
1602,SRS820596,ET-Firmicutes
1603,SRS820597,ET-Firmicutes
1604,SRS820598,ET-Firmicutes
1605,SRS820601,ET-Firmicutes
1606,SRS820602,ET-Firmicutes
1607,SRS820603,ET-Firmicutes
1608,SRS820604,ET-Firmicutes
1609,SRS820605,ET-Firmicutes
1610,SRS883041,ET-Firmicutes
1611,SRS883066,ET-Firmicutes
1612,SRS883067,ET-Firmicutes
1613,SRS883069,ET-Firmicutes
1614,SRS883070,ET-Firmicutes
1615,SRS883112,ET-Firmicutes
1616,SRS883113,ET-Firmicutes
1617,SRS883147,ET-Firmicutes
1618,SRS883293,ET-Firmicutes
1619,SRS1369961,ET-Firmicutes
1620,SRS1369960,ET-Firmicutes
1621,SRS1369959,ET-Firmicutes
1622,SRS1369958,ET-Firmicutes
1623,SRS1369983,ET-Firmicutes
1624,SRS1369957,ET-Firmicutes
1625,SRS1369956,ET-Firmicutes
1626,SRS1369967,ET-Firmicutes
1627,SRS1369955,ET-Firmicutes
1628,SRS1369953,ET-Firmicutes
1629,SRS1369952,ET-Firmicutes
1630,SRS1369950,ET-Firmicutes
1631,SRS1369951,ET-Firmicutes
1632,SRS1369949,ET-Firmicutes
1633,SRS1369947,ET-Firmicutes
1634,SRS1369948,ET-Firmicutes
1635,SRS1369982,ET-Firmicutes
1636,SRS1369981,ET-Firmicutes
1637,SRS1369966,ET-Firmicutes
1638,SRS1369980,ET-Firmicutes
1639,SRS1369979,ET-Firmicutes
1640,SRS1369946,ET-Firmicutes
1641,SRS1369978,ET-Firmicutes
1642,SRS1369944,ET-Firmicutes
1643,SRS1369977,ET-Firmicutes
1644,SRS1369945,ET-Firmicutes
1645,SRS1369976,ET-Firmicutes
1646,SRS1369965,ET-Firmicutes
1647,SRS1369939,ET-Firmicutes
1648,SRS1369938,ET-Firmicutes
1649,SRS1369964,ET-Firmicutes
1650,SRS1369963,ET-Firmicutes
1651,SRS1369954,ET-Firmicutes
1652,SRS1369943,ET-Firmicutes
1653,SRS3984283,ET-Firmicutes
1654,SRS3984282,ET-Firmicutes
1655,SRS3984281,ET-Firmicutes
1656,SRS3984280,ET-Firmicutes
1657,SRS3984209,ET-Firmicutes
1658,SRS3984208,ET-Firmicutes
1659,SRS3984207,ET-Firmicutes
1660,SRS3984206,ET-Firmicutes
1661,SRS3984205,ET-Firmicutes
1662,SRS3984204,ET-Firmicutes
1663,SRS3984203,ET-Firmicutes
1664,SRS3984202,ET-Firmicutes
1665,SRS3984201,ET-Firmicutes
1666,SRS3984200,ET-Firmicutes
1667,SRS3984199,ET-Firmicutes
1668,SRS3984198,ET-Firmicutes
1669,SRS3984197,ET-Firmicutes
1670,SRS3984196,ET-Firmicutes
1671,SRS3984194,ET-Firmicutes
1672,SRS3984192,ET-Firmicutes
1673,SRS3984191,ET-Firmicutes
1674,SRS3984190,ET-Firmicutes
1675,SRS3984189,ET-Firmicutes
1676,SRS3984187,ET-Firmicutes
1677,SRS3984188,ET-Firmicutes
1678,SRS3984186,ET-Firmicutes
1679,SRS3984181,ET-Firmicutes
1680,SRS3984179,ET-Firmicutes
1681,SRS3984178,ET-Firmicutes
1682,SRS3984177,ET-Firmicutes
1683,SRS3984176,ET-Firmicutes
1684,SRS3984175,ET-Firmicutes
1685,SRS3984174,ET-Firmicutes
1686,SRS3984173,ET-Firmicutes
1687,SRS3984172,ET-Firmicutes
1688,SRS3984171,ET-Firmicutes
1689,SRS3984170,ET-Firmicutes
1690,SRS5107612,ET-Firmicutes
1691,SRS1596785,ET-Firmicutes
1692,SRS1596800,ET-Firmicutes
1693,SRS1596812,ET-Firmicutes
1694,SRS1596829,ET-Firmicutes
1695,SRS1596833,ET-Firmicutes
1696,SRS1596835,ET-Firmicutes
1697,SRS1596836,ET-Firmicutes
1698,SRS1596838,ET-Firmicutes
1699,SRS1596839,ET-Firmicutes
1700,SRS1596846,ET-Firmicutes
1701,SRS1596848,ET-Firmicutes
1702,SRS1596850,ET-Firmicutes
1703,SRS1596853,ET-Firmicutes
1704,SRS1596869,ET-Firmicutes
1705,SRS1858589,ET-Firmicutes
1706,SRS1858608,ET-Firmicutes
1707,SRS1858609,ET-Firmicutes
1708,SRS1858616,ET-Firmicutes
1709,SRS1858630,ET-Firmicutes
1710,SRS1858631,ET-Firmicutes
1711,SRS1858632,ET-Firmicutes
1712,SRS1858634,ET-Firmicutes
1713,SRS1858635,ET-Firmicutes
1714,SRS1858636,ET-Firmicutes
1715,SRS1858655,ET-Firmicutes
1716,SRS1858659,ET-Firmicutes
1717,SRS1858660,ET-Firmicutes
1718,SRS1858661,ET-Firmicutes
1719,SRS1858664,ET-Firmicutes
1720,SRS1858672,ET-Firmicutes
1721,SRS1858680,ET-Firmicutes
1722,SRS1858684,ET-Firmicutes
1723,SRS1858695,ET-Firmicutes
1724,SRS1858697,ET-Firmicutes
1725,SRS1858704,ET-Firmicutes
1726,SRS1858705,ET-Firmicutes
1727,SRS1858706,ET-Firmicutes
1728,SRS1858709,ET-Firmicutes
1729,SRS1858716,ET-Firmicutes
1730,SRS1858721,ET-Firmicutes
1731,SRS1858728,ET-Firmicutes
1732,SRS1858730,ET-Firmicutes
1733,SRS1858732,ET-Firmicutes
1734,24V3,ET-Firmicutes
1735,25V3,ET-Firmicutes
1736,25V1,ET-Firmicutes
1737,26V1,ET-Firmicutes
1738,26V5,ET-Firmicutes
1739,26V6,ET-Firmicutes
1740,29V1,ET-Firmicutes
1741,27V6,ET-Firmicutes
1742,29V3,ET-Firmicutes
1743,2V1,ET-Firmicutes
1744,2V3,ET-Firmicutes
1745,30V1,ET-Firmicutes
1746,2V5,ET-Firmicutes
1747,30V3,ET-Firmicutes
1748,30V5,ET-Firmicutes
1749,30V6,ET-Firmicutes
1750,2V6,ET-Firmicutes
1751,31V1,ET-Firmicutes
1752,32V1,ET-Firmicutes
1753,32V3,ET-Firmicutes
1754,33V3,ET-Firmicutes
1755,32V5,ET-Firmicutes
1756,33V5,ET-Firmicutes
1757,33V6,ET-Firmicutes
1758,33V1,ET-Firmicutes
1759,34V1,ET-Firmicutes
1760,37V5,ET-Firmicutes
1761,34V3,ET-Firmicutes
1762,34V5,ET-Firmicutes
1763,38V3,ET-Firmicutes
1764,37V1,ET-Firmicutes
1765,38V1,ET-Firmicutes
1766,37V3,ET-Firmicutes
1767,37V6,ET-Firmicutes
1768,38V5,ET-Firmicutes
1769,38V6,ET-Firmicutes
1770,42V1,ET-Firmicutes
1771,45V3,ET-Firmicutes
1772,44V1,ET-Firmicutes
1773,47V3,ET-Firmicutes
1774,46V1,ET-Firmicutes
1775,46V5,ET-Firmicutes
1776,49V5,ET-Firmicutes
1777,49V1,ET-Firmicutes
1778,4V3,ET-Firmicutes
1779,51V3,ET-Firmicutes
1780,50V5,ET-Firmicutes
1781,50V1,ET-Firmicutes
1782,52V1,ET-Firmicutes
1783,52V5,ET-Firmicutes
1784,5V3,ET-Firmicutes
1785,6V3,ET-Firmicutes
1786,5V6,ET-Firmicutes
1787,6V6,ET-Firmicutes
1788,8V3,ET-Firmicutes
1789,9V1,ET-Firmicutes
1790,9V5,ET-Firmicutes
1791,43V5,ET-Firmicutes
1792,44V3,ET-Firmicutes
1793,45V1,ET-Firmicutes
1794,46V3,ET-Firmicutes
1795,45V5,ET-Firmicutes
1796,47V1,ET-Firmicutes
1797,4V5,ET-Firmicutes
1798,4V1,ET-Firmicutes
1799,47V5,ET-Firmicutes
1800,49V3,ET-Firmicutes
1801,50V3,ET-Firmicutes
1802,51V1,ET-Firmicutes
1803,5V1,ET-Firmicutes
1804,5V5,ET-Firmicutes
1805,52V3,ET-Firmicutes
1806,8V1,ET-Firmicutes
1807,6V5,ET-Firmicutes
1808,6V1,ET-Firmicutes
1809,8V5,ET-Firmicutes
1810,9V3,ET-Firmicutes
1811,9V6,ET-Firmicutes
1812,24V1,ET-Firmicutes
1813,23V5,ET-Firmicutes
1814,23V3,ET-Firmicutes
1815,10V1,ET-Firmicutes
1816,23V1,ET-Firmicutes
1817,10V3,ET-Firmicutes
1818,10V5,ET-Firmicutes
1819,11V1,ET-Firmicutes
1820,11V3,ET-Firmicutes
1821,11V5,ET-Firmicutes
1822,13V1,ET-Firmicutes
1823,13V3,ET-Firmicutes
1824,13V5,ET-Firmicutes
1825,16V3,ET-Firmicutes
1826,16V1,ET-Firmicutes
1827,16V5,ET-Firmicutes
1828,20V1,ET-Firmicutes
1829,20V3,ET-Firmicutes
1830,20V5,ET-Firmicutes
1831,20V6,ET-Firmicutes
1832,21V1,ET-Firmicutes
1833,21V3,ET-Firmicutes
1834,22V1,ET-Firmicutes
1835,22V5,ET-Firmicutes
1836,SRS1993534,ET-Firmicutes
1837,SRS1993536,ET-Firmicutes
1838,SRS1993538,ET-Firmicutes
1839,SRS1993539,ET-Firmicutes
1840,SRS1993540,ET-Firmicutes
1841,SRS1993541,ET-Firmicutes
1842,SRS1993545,ET-Firmicutes
1843,SRS1993547,ET-Firmicutes
1844,SRS1993548,ET-Firmicutes
1845,SRS1993552,ET-Firmicutes
1846,SRS1993553,ET-Firmicutes
1847,SRS1993555,ET-Firmicutes
1848,SRS1993557,ET-Firmicutes
1849,SRS1993558,ET-Firmicutes
1850,SRS1993564,ET-Firmicutes
1851,SRS1993568,ET-Firmicutes
1852,SRS1993567,ET-Firmicutes
1853,SRS1993571,ET-Firmicutes
1854,SRS1993573,ET-Firmicutes
1855,SRS1993572,ET-Firmicutes
1856,SRS1993574,ET-Firmicutes
1857,SRS1993575,ET-Firmicutes
1858,SRS1993576,ET-Firmicutes
1859,SRS1993587,ET-Firmicutes
1860,SRS1993586,ET-Firmicutes
1861,SRS1993590,ET-Firmicutes
1862,SRS1994011,ET-Firmicutes
1863,SRS1994010,ET-Firmicutes
1864,SRS1994013,ET-Firmicutes
1865,SRS1994014,ET-Firmicutes
1866,SRS1994015,ET-Firmicutes
1867,SRS1994017,ET-Firmicutes
1868,SRS1994016,ET-Firmicutes
1869,SRS1994018,ET-Firmicutes
1870,SRS1994020,ET-Firmicutes
1871,SRS1994025,ET-Firmicutes
1872,SRS1994028,ET-Firmicutes
1873,SRS1994029,ET-Firmicutes
1874,SRS1997061,ET-Firmicutes
1875,SRS1997042,ET-Firmicutes
1876,SRS1997037,ET-Firmicutes
1877,SRS1997089,ET-Firmicutes
1878,SRS1997068,ET-Firmicutes
1879,SRS1997066,ET-Firmicutes
1880,SRS1997062,ET-Firmicutes
1881,SRS1997060,ET-Firmicutes
1882,SRS1997058,ET-Firmicutes
1883,SRS1997057,ET-Firmicutes
1884,SRS1997056,ET-Firmicutes
1885,SRS1997054,ET-Firmicutes
1886,SRS1997050,ET-Firmicutes
1887,SRS1997048,ET-Firmicutes
1888,SRS1997044,ET-Firmicutes
1889,SRS1997041,ET-Firmicutes
1890,SRS1997038,ET-Firmicutes
1891,SRS1997036,ET-Firmicutes
1892,SRS1997028,ET-Firmicutes
1893,SRS1997023,ET-Firmicutes
1894,SRS1997022,ET-Firmicutes
1895,SRS1997021,ET-Firmicutes
1896,SRS1997020,ET-Firmicutes
1897,SRS1997092,ET-Firmicutes
1898,SRS1997086,ET-Firmicutes
1899,SRS1997084,ET-Firmicutes
1900,SRS1997080,ET-Firmicutes
1901,SRS1997078,ET-Firmicutes
1902,SRS1997075,ET-Firmicutes
1903,SRS1997074,ET-Firmicutes
1904,SRS1997073,ET-Firmicutes
1905,SRS1997072,ET-Firmicutes
1906,SRS1997070,ET-Firmicutes
1907,SRS1997069,ET-Firmicutes
1908,SRS1997019,ET-Firmicutes
1909,SRS1997016,ET-Firmicutes
1910,SRS1997011,ET-Firmicutes
1911,SRS1997008,ET-Firmicutes
1912,SRS1997006,ET-Firmicutes
1913,SRS1997003,ET-Firmicutes
1914,SRS1997002,ET-Firmicutes
1915,SRS1997000,ET-Firmicutes
1916,SRS2063855,ET-Firmicutes
1917,SRS2063856,ET-Firmicutes
1918,SRS2063857,ET-Firmicutes
1919,SRS2063858,ET-Firmicutes
1920,SRS2061372,ET-Firmicutes
1921,SRS2061373,ET-Firmicutes
1922,SRS2061376,ET-Firmicutes
1923,SRS2061375,ET-Firmicutes
1924,SRS2061377,ET-Firmicutes
1925,SRS2061378,ET-Firmicutes
1926,SRS2058967,ET-Firmicutes
1927,SRS2058968,ET-Firmicutes
1928,SRS2058970,ET-Firmicutes
1929,SRS2058971,ET-Firmicutes
1930,SRS2058972,ET-Firmicutes
1931,SRS2058974,ET-Firmicutes
1932,SRS2058975,ET-Firmicutes
1933,SRS2058976,ET-Firmicutes
1934,SRS2058977,ET-Firmicutes
1935,SRS2058978,ET-Firmicutes
1936,SRS2058979,ET-Firmicutes
1937,SRS2058981,ET-Firmicutes
1938,SRS2058983,ET-Firmicutes
1939,SRS2058984,ET-Firmicutes
1940,SRS2058985,ET-Firmicutes
1941,SRS2058986,ET-Firmicutes
1942,SRS2058987,ET-Firmicutes
1943,SRS2058988,ET-Firmicutes
1944,SRS2058989,ET-Firmicutes
1945,SRS2058990,ET-Firmicutes
1946,SRS2058991,ET-Firmicutes
1947,SRS2058992,ET-Firmicutes
1948,SRS2058993,ET-Firmicutes
1949,SRS2058994,ET-Firmicutes
1950,SRS2058996,ET-Firmicutes
1951,SRS2058997,ET-Firmicutes
1952,SRS2058998,ET-Firmicutes
1953,SRS2059000,ET-Firmicutes
1954,SRS2059001,ET-Firmicutes
1955,SRS2059002,ET-Firmicutes
1956,SRS2059004,ET-Firmicutes
1957,SRS2059005,ET-Firmicutes
1958,SRS2059006,ET-Firmicutes
1959,SRS2059008,ET-Firmicutes
1960,SRS2059009,ET-Firmicutes
1961,SRS2059010,ET-Firmicutes
1962,SRS2059011,ET-Firmicutes
1963,SRS2059012,ET-Firmicutes
1964,SRS2059013,ET-Firmicutes
1965,SRS2059014,ET-Firmicutes
1966,SRS2059016,ET-Firmicutes
1967,SRS2059017,ET-Firmicutes
1968,SRS2059018,ET-Firmicutes
1969,SRS2059019,ET-Firmicutes
1970,SRS2059020,ET-Firmicutes
1971,SRS2059021,ET-Firmicutes
1972,SRS2059023,ET-Firmicutes
1973,SRS2059025,ET-Firmicutes
1974,SRS2059027,ET-Firmicutes
1975,SRS2059028,ET-Firmicutes
1976,SRS2059030,ET-Firmicutes
1977,SRS2059031,ET-Firmicutes
1978,SRS2059032,ET-Firmicutes
1979,SRS2059033,ET-Firmicutes
1980,SRS2059034,ET-Firmicutes
1981,SRS2059035,ET-Firmicutes
1982,SRS2059036,ET-Firmicutes
1983,SRS2059038,ET-Firmicutes
1984,SRS2059039,ET-Firmicutes
1985,SRS2059040,ET-Firmicutes
1986,SRS2059041,ET-Firmicutes
1987,SRS2059042,ET-Firmicutes
1988,SRS2059043,ET-Firmicutes
1989,SRS2059044,ET-Firmicutes
1990,SRS2059045,ET-Firmicutes
1991,SRS2059046,ET-Firmicutes
1992,SRS2059047,ET-Firmicutes
1993,SRS2059048,ET-Firmicutes
1994,SRS2059049,ET-Firmicutes
1995,SRS2059050,ET-Firmicutes
1996,SRS2059051,ET-Firmicutes
1997,SRS2059054,ET-Firmicutes
1998,SRS2059055,ET-Firmicutes
1999,SRS2407700,ET-Firmicutes
2000,SRS2407717,ET-Firmicutes
2001,SRS2407740,ET-Firmicutes
2002,SRS2407750,ET-Firmicutes
2003,SRS2407753,ET-Firmicutes
2004,SRS2428448,ET-Firmicutes
2005,SRS2428449,ET-Firmicutes
2006,SRS2428446,ET-Firmicutes
2007,SRS2428445,ET-Firmicutes
2008,SRS2428444,ET-Firmicutes
2009,SRS2428441,ET-Firmicutes
2010,SRS2428439,ET-Firmicutes
2011,SRS2428438,ET-Firmicutes
2012,SRS2428437,ET-Firmicutes
2013,SRS2428436,ET-Firmicutes
2014,SRS2428435,ET-Firmicutes
2015,SRS2428434,ET-Firmicutes
2016,SRS2428432,ET-Firmicutes
2017,SRS2428433,ET-Firmicutes
2018,SRS2428431,ET-Firmicutes
2019,SRS2428429,ET-Firmicutes
2020,SRS2428425,ET-Firmicutes
2021,SRS2428426,ET-Firmicutes
2022,SRS2428422,ET-Firmicutes
2023,SRS2428421,ET-Firmicutes
2024,SRS2428420,ET-Firmicutes
2025,SRS2428419,ET-Firmicutes
2026,SRS2428417,ET-Firmicutes
2027,SRS2428415,ET-Firmicutes
2028,SRS2428416,ET-Firmicutes
2029,SRS2428413,ET-Firmicutes
2030,SRS2428414,ET-Firmicutes
2031,SRS2428412,ET-Firmicutes
2032,SRS2428411,ET-Firmicutes
2033,SRS2428408,ET-Firmicutes
2034,SRS2428410,ET-Firmicutes
2035,SRS2428407,ET-Firmicutes
2036,SRS333668,ET-Firmicutes
2037,SRS259435,ET-Firmicutes
2038,SRS259436,ET-Firmicutes
2039,SRS259437,ET-Firmicutes
2040,SRS259438,ET-Firmicutes
2041,SRS259439,ET-Firmicutes
2042,SRS259442,ET-Firmicutes
2043,SRS259443,ET-Firmicutes
2044,SRS259446,ET-Firmicutes
2045,SRS259447,ET-Firmicutes
2046,SRS259448,ET-Firmicutes
2047,SRS259449,ET-Firmicutes
2048,SRS259452,ET-Firmicutes
2049,SRS259454,ET-Firmicutes
2050,SRS259461,ET-Firmicutes
2051,SRS259462,ET-Firmicutes
2052,SRS259467,ET-Firmicutes
2053,SRS259468,ET-Firmicutes
2054,SRS259471,ET-Firmicutes
2055,SRS259472,ET-Firmicutes
2056,SRS259473,ET-Firmicutes
2057,SRS259474,ET-Firmicutes
2058,SRS259476,ET-Firmicutes
2059,SRS259483,ET-Firmicutes
2060,SRS259488,ET-Firmicutes
2061,SRS259490,ET-Firmicutes
2062,SRS259494,ET-Firmicutes
2063,SRS259496,ET-Firmicutes
2064,SRS259500,ET-Firmicutes
2065,SRS259501,ET-Firmicutes
2066,SRS259509,ET-Firmicutes
2067,SRS259511,ET-Firmicutes
2068,SRS259514,ET-Firmicutes
2069,SRS259515,ET-Firmicutes
2070,SRS259517,ET-Firmicutes
2071,SRS259518,ET-Firmicutes
2072,SRS259520,ET-Firmicutes
2073,SRS259522,ET-Firmicutes
2074,SRS259523,ET-Firmicutes
2075,SRS259524,ET-Firmicutes
2076,SRS259527,ET-Firmicutes
2077,SRS259528,ET-Firmicutes
2078,SRS259529,ET-Firmicutes
2079,SRS259532,ET-Firmicutes
2080,SRS259535,ET-Firmicutes
2081,SRS259536,ET-Firmicutes
2082,SRS259540,ET-Firmicutes
2083,SRS259544,ET-Firmicutes
2084,SRS259545,ET-Firmicutes
2085,SRS259551,ET-Firmicutes
2086,SRS259552,ET-Firmicutes
2087,SRS259553,ET-Firmicutes
2088,SRS259555,ET-Firmicutes
2089,SRS259558,ET-Firmicutes
2090,SRS259559,ET-Firmicutes
2091,SRS259560,ET-Firmicutes
2092,SRS259561,ET-Firmicutes
2093,SRS259562,ET-Firmicutes
2094,SRS259564,ET-Firmicutes
2095,SRS259569,ET-Firmicutes
2096,SRS259571,ET-Firmicutes
2097,SRS259572,ET-Firmicutes
2098,SRS259574,ET-Firmicutes
2099,SRS294813,ET-Firmicutes
2100,SRS294814,ET-Firmicutes
2101,SRS294815,ET-Firmicutes
2102,SRS294818,ET-Firmicutes
2103,SRS294820,ET-Firmicutes
2104,SRS294825,ET-Firmicutes
2105,SRS294831,ET-Firmicutes
2106,SRS294835,ET-Firmicutes
2107,SRS294836,ET-Firmicutes
2108,SRS294837,ET-Firmicutes
2109,SRS294839,ET-Firmicutes
2110,SRS294840,ET-Firmicutes
2111,SRS294841,ET-Firmicutes
2112,SRS294842,ET-Firmicutes
2113,SRS294845,ET-Firmicutes
2114,SRS294847,ET-Firmicutes
2115,SRS294852,ET-Firmicutes
2116,SRS294854,ET-Firmicutes
2117,SRS294855,ET-Firmicutes
2118,SRS294856,ET-Firmicutes
2119,SRS294868,ET-Firmicutes
2120,SRS294869,ET-Firmicutes
2121,SRS294870,ET-Firmicutes
2122,SRS294871,ET-Firmicutes
2123,SRS294872,ET-Firmicutes
2124,SRS294873,ET-Firmicutes
2125,SRS294875,ET-Firmicutes
2126,SRS294877,ET-Firmicutes
2127,SRS294879,ET-Firmicutes
2128,SRS294880,ET-Firmicutes
2129,SRS294881,ET-Firmicutes
2130,SRS294884,ET-Firmicutes
2131,SRS294885,ET-Firmicutes
2132,SRS294890,ET-Firmicutes
2133,SRS294896,ET-Firmicutes
2134,SRS294903,ET-Firmicutes
2135,SRS294906,ET-Firmicutes
2136,SRS294909,ET-Firmicutes
2137,SRS294910,ET-Firmicutes
2138,SRS294912,ET-Firmicutes
2139,SRS294915,ET-Firmicutes
2140,SRS294922,ET-Firmicutes
2141,SRS294925,ET-Firmicutes
2142,SRS294929,ET-Firmicutes
2143,SRS294932,ET-Firmicutes
2144,SRS294933,ET-Firmicutes
2145,SRS294935,ET-Firmicutes
2146,SRS294936,ET-Firmicutes
2147,SRS294937,ET-Firmicutes
2148,SRS294939,ET-Firmicutes
2149,SRS294942,ET-Firmicutes
2150,SRS294946,ET-Firmicutes
2151,SRS294949,ET-Firmicutes
2152,SRS294952,ET-Firmicutes
2153,SRS294955,ET-Firmicutes
2154,SRS294957,ET-Firmicutes
2155,SRS294958,ET-Firmicutes
2156,SRS294965,ET-Firmicutes
2157,SRS294966,ET-Firmicutes
2158,SRS294967,ET-Firmicutes
2159,SRS294970,ET-Firmicutes
2160,SRS294974,ET-Firmicutes
2161,SRS294976,ET-Firmicutes
2162,SRS294980,ET-Firmicutes
2163,SRS294983,ET-Firmicutes
2164,SRS294985,ET-Firmicutes
2165,SRS294991,ET-Firmicutes
2166,SRS294995,ET-Firmicutes
2167,SRS294996,ET-Firmicutes
2168,SRS294998,ET-Firmicutes
2169,SRS295000,ET-Firmicutes
2170,SRS295001,ET-Firmicutes
2171,SRS295004,ET-Firmicutes
2172,SRS295005,ET-Firmicutes
2173,SRS295006,ET-Firmicutes
2174,SRS295007,ET-Firmicutes
2175,SRS295008,ET-Firmicutes
2176,SRS295009,ET-Firmicutes
2177,SRS295010,ET-Firmicutes
2178,SRS295017,ET-Firmicutes
2179,SRS295018,ET-Firmicutes
2180,SRS295023,ET-Firmicutes
2181,SRS295027,ET-Firmicutes
2182,SRS295028,ET-Firmicutes
2183,SRS2872974,ET-Firmicutes
2184,SRS2872972,ET-Firmicutes
2185,SRS2872971,ET-Firmicutes
2186,SRS2872964,ET-Firmicutes
2187,SRS2872963,ET-Firmicutes
2188,SRS2872960,ET-Firmicutes
2189,SRS4444702,ET-Firmicutes
2190,SRS4444700,ET-Firmicutes
2191,SRS4444699,ET-Firmicutes
2192,SRS4444691,ET-Firmicutes
2193,SRS4444685,ET-Firmicutes
2194,SRS4444682,ET-Firmicutes
2195,SRS4444679,ET-Firmicutes
2196,SRS4444674,ET-Firmicutes
2197,SRS4444671,ET-Firmicutes
2198,SRS4444670,ET-Firmicutes
2199,SRS4444667,ET-Firmicutes
2200,SRS4444664,ET-Firmicutes
2201,SRS4444662,ET-Firmicutes
2202,SRS4444661,ET-Firmicutes
2203,SRS4444660,ET-Firmicutes
2204,SRS3104972,ET-Firmicutes
2205,SRS3104971,ET-Firmicutes
2206,SRS3104969,ET-Firmicutes
2207,SRS3104965,ET-Firmicutes
