,values,ind
291,ERS1066689,ET-Firmicutes
292,ERS1066690,ET-Firmicutes
293,ERS1066691,ET-Firmicutes
294,ERS1066692,ET-Firmicutes
295,ERS1066693,ET-Firmicutes
296,ERS1066694,ET-Firmicutes
297,ERS1066695,ET-Firmicutes
298,ERS1066697,ET-Firmicutes
299,ERS1066698,ET-Firmicutes
300,ERS1066699,ET-Firmicutes
301,ERS1066700,ET-Firmicutes
302,ERS1066701,ET-Firmicutes
303,ERS1066702,ET-Firmicutes
304,ERS1066703,ET-Firmicutes
305,ERS1066705,ET-Firmicutes
306,ERS1066706,ET-Firmicutes
307,ERS1066708,ET-Firmicutes
308,ERS1066709,ET-Firmicutes
309,ERS1066710,ET-Firmicutes
310,ERS1066711,ET-Firmicutes
311,ERS1066712,ET-Firmicutes
312,ERS1066714,ET-Firmicutes
313,ERS1066715,ET-Firmicutes
314,ERS1066717,ET-Firmicutes
315,ERS1066719,ET-Firmicutes
316,ERS1066720,ET-Firmicutes
317,ERS1066721,ET-Firmicutes
318,ERS1066722,ET-Firmicutes
319,ERS1066724,ET-Firmicutes
320,ERS1066725,ET-Firmicutes
321,ERS1066726,ET-Firmicutes
322,ERS1066727,ET-Firmicutes
323,ERS1066728,ET-Firmicutes
324,ERS1066729,ET-Firmicutes
325,ERS1066730,ET-Firmicutes
326,ERS1066731,ET-Firmicutes
327,ERS1066732,ET-Firmicutes
328,ERS1066733,ET-Firmicutes
329,ERS1066734,ET-Firmicutes
330,ERS1066735,ET-Firmicutes
331,ERS1066736,ET-Firmicutes
332,ERS1066737,ET-Firmicutes
333,ERS1066738,ET-Firmicutes
334,ERS1066739,ET-Firmicutes
335,ERS1066741,ET-Firmicutes
336,ERS1066742,ET-Firmicutes
337,ERS1190881,ET-Firmicutes
338,ERS1190882,ET-Firmicutes
339,ERS1190883,ET-Firmicutes
340,ERS1190885,ET-Firmicutes
341,ERS1190886,ET-Firmicutes
342,ERS1190887,ET-Firmicutes
343,ERS1190889,ET-Firmicutes
344,ERS1190890,ET-Firmicutes
345,ERS1190891,ET-Firmicutes
346,ERS1190892,ET-Firmicutes
347,ERS1190893,ET-Firmicutes
348,ERS1190894,ET-Firmicutes
349,ERS1190895,ET-Firmicutes
350,ERS1190897,ET-Firmicutes
351,ERS1190898,ET-Firmicutes
352,ERS1190899,ET-Firmicutes
353,ERS1190901,ET-Firmicutes
354,ERS1190904,ET-Firmicutes
355,ERS1190906,ET-Firmicutes
356,ERS1190907,ET-Firmicutes
357,ERS1190908,ET-Firmicutes
358,ERS1190909,ET-Firmicutes
359,ERS1190910,ET-Firmicutes
360,ERS1190911,ET-Firmicutes
361,ERS1190913,ET-Firmicutes
362,ERS1190914,ET-Firmicutes
363,ERS1190915,ET-Firmicutes
364,ERS1190916,ET-Firmicutes
365,ERS1190919,ET-Firmicutes
366,ERS1190920,ET-Firmicutes
367,ERS1190922,ET-Firmicutes
368,ERS1190923,ET-Firmicutes
369,ERS1190924,ET-Firmicutes
370,ERS1190927,ET-Firmicutes
371,ERS1190928,ET-Firmicutes
372,ERS1190929,ET-Firmicutes
373,ERS1190930,ET-Firmicutes
374,ERS1190931,ET-Firmicutes
375,ERS1190932,ET-Firmicutes
376,ERS1190934,ET-Firmicutes
377,ERS1190935,ET-Firmicutes
378,ERS1190936,ET-Firmicutes
379,ERS1190937,ET-Firmicutes
380,ERS1190939,ET-Firmicutes
381,ERS1190940,ET-Firmicutes
382,ERS1190941,ET-Firmicutes
383,ERS1190942,ET-Firmicutes
384,ERS1190943,ET-Firmicutes
385,ERS1190944,ET-Firmicutes
386,ERS1190945,ET-Firmicutes
387,ERS1190946,ET-Firmicutes
388,ERS1190948,ET-Firmicutes
389,ERS1190950,ET-Firmicutes
390,ERS1190951,ET-Firmicutes
391,ERS1190952,ET-Firmicutes
392,ERS1190953,ET-Firmicutes
393,ERS1343317,ET-Firmicutes
394,ERS1343384,ET-Firmicutes
395,ERS1343385,ET-Firmicutes
396,ERS1343389,ET-Firmicutes
397,ERS1343391,ET-Firmicutes
398,ERS1343393,ET-Firmicutes
399,ERS1343399,ET-Firmicutes
400,ERS1343400,ET-Firmicutes
401,ERS1343401,ET-Firmicutes
402,ERS1343402,ET-Firmicutes
403,ERS1343403,ET-Firmicutes
404,ERS1343404,ET-Firmicutes
405,ERS1343405,ET-Firmicutes
406,ERS1343406,ET-Firmicutes
407,ERS1343409,ET-Firmicutes
408,ERS1343414,ET-Firmicutes
409,ERS1343417,ET-Firmicutes
410,ERS1343418,ET-Firmicutes
411,ERS1343419,ET-Firmicutes
412,ERS1343422,ET-Firmicutes
413,ERS1343425,ET-Firmicutes
414,ERS1343427,ET-Firmicutes
415,ERS1343428,ET-Firmicutes
416,ERS1343430,ET-Firmicutes
417,ERS1343431,ET-Firmicutes
418,ERS1343432,ET-Firmicutes
419,ERS1343433,ET-Firmicutes
420,ERS1343436,ET-Firmicutes
421,ERS1343437,ET-Firmicutes
422,ERS1647331,ET-Firmicutes
423,ERS1647293,ET-Firmicutes
424,ERS1647327,ET-Firmicutes
425,ERS1647305,ET-Firmicutes
426,ERS1647298,ET-Firmicutes
427,ERS1647289,ET-Firmicutes
428,ERS1647302,ET-Firmicutes
429,ERS1647284,ET-Firmicutes
430,ERS1647318,ET-Firmicutes
431,ERS1647299,ET-Firmicutes
432,ERS1647281,ET-Firmicutes
433,ERS1647330,ET-Firmicutes
434,ERS1647304,ET-Firmicutes
435,ERS1647335,ET-Firmicutes
436,ERS1647278,ET-Firmicutes
437,ERS1647317,ET-Firmicutes
438,ERS1647292,ET-Firmicutes
439,ERS1647313,ET-Firmicutes
440,ERS1647285,ET-Firmicutes
441,ERS1647296,ET-Firmicutes
442,ERS1647312,ET-Firmicutes
443,ERS1647288,ET-Firmicutes
444,ERS1647291,ET-Firmicutes
445,ERS1647309,ET-Firmicutes
446,ERS1647311,ET-Firmicutes
447,ERS1647286,ET-Firmicutes
448,ERS1647300,ET-Firmicutes
449,ERS1647315,ET-Firmicutes
450,ERS1647297,ET-Firmicutes
451,ERS1647303,ET-Firmicutes
452,ERS1647325,ET-Firmicutes
453,ERS1647295,ET-Firmicutes
454,ERS1647279,ET-Firmicutes
455,ERS1647333,ET-Firmicutes
456,ERS1647310,ET-Firmicutes
457,ERS1647294,ET-Firmicutes
458,ERS1647320,ET-Firmicutes
459,ERS1647280,ET-Firmicutes
460,ERS1647283,ET-Firmicutes
461,ERS1647301,ET-Firmicutes
462,ERS1647308,ET-Firmicutes
463,ERS1647290,ET-Firmicutes
464,ERS1647314,ET-Firmicutes
465,ERS1647328,ET-Firmicutes
466,ERS1647307,ET-Firmicutes
467,ERS1647332,ET-Firmicutes
468,ERS1647287,ET-Firmicutes
469,ERS1647334,ET-Firmicutes
470,ERS235496,ET-Firmicutes
471,ERS235497,ET-Firmicutes
472,ERS235498,ET-Firmicutes
473,ERS235499,ET-Firmicutes
474,ERS235500,ET-Firmicutes
475,ERS235501,ET-Firmicutes
476,ERS235502,ET-Firmicutes
477,ERS235503,ET-Firmicutes
478,ERS235504,ET-Firmicutes
479,ERS235505,ET-Firmicutes
480,ERS235506,ET-Firmicutes
481,ERS235507,ET-Firmicutes
482,ERS235508,ET-Firmicutes
483,ERS235511,ET-Firmicutes
484,ERS235513,ET-Firmicutes
485,ERS235515,ET-Firmicutes
486,ERS235516,ET-Firmicutes
487,ERS235517,ET-Firmicutes
488,ERS235518,ET-Firmicutes
489,ERS235519,ET-Firmicutes
490,ERS235520,ET-Firmicutes
491,ERS235521,ET-Firmicutes
492,ERS235522,ET-Firmicutes
493,ERS235523,ET-Firmicutes
494,ERS235524,ET-Firmicutes
495,ERS235525,ET-Firmicutes
496,ERS235526,ET-Firmicutes
497,ERS235527,ET-Firmicutes
498,ERS235528,ET-Firmicutes
499,ERS235529,ET-Firmicutes
500,ERS235530,ET-Firmicutes
501,ERS235532,ET-Firmicutes
502,ERS235533,ET-Firmicutes
503,ERS235534,ET-Firmicutes
504,ERS235535,ET-Firmicutes
505,ERS235536,ET-Firmicutes
506,ERS235537,ET-Firmicutes
507,ERS235538,ET-Firmicutes
508,ERS235539,ET-Firmicutes
509,ERS235542,ET-Firmicutes
510,ERS235543,ET-Firmicutes
511,ERS235545,ET-Firmicutes
512,ERS235546,ET-Firmicutes
513,ERS235547,ET-Firmicutes
514,ERS235548,ET-Firmicutes
515,ERS235549,ET-Firmicutes
516,ERS235550,ET-Firmicutes
517,ERS235551,ET-Firmicutes
518,ERS235553,ET-Firmicutes
519,ERS235554,ET-Firmicutes
520,ERS235555,ET-Firmicutes
521,ERS235556,ET-Firmicutes
522,ERS235557,ET-Firmicutes
523,ERS235558,ET-Firmicutes
524,ERS235559,ET-Firmicutes
525,ERS235560,ET-Firmicutes
526,ERS235561,ET-Firmicutes
527,ERS235562,ET-Firmicutes
528,ERS235563,ET-Firmicutes
529,ERS235564,ET-Firmicutes
530,ERS235565,ET-Firmicutes
531,ERS235566,ET-Firmicutes
532,ERS235567,ET-Firmicutes
533,ERS235568,ET-Firmicutes
534,ERS235569,ET-Firmicutes
535,ERS235570,ET-Firmicutes
536,ERS235571,ET-Firmicutes
537,ERS235572,ET-Firmicutes
538,ERS235573,ET-Firmicutes
539,ERS235574,ET-Firmicutes
540,ERS235579,ET-Firmicutes
541,ERS235580,ET-Firmicutes
542,ERS235581,ET-Firmicutes
543,ERS235582,ET-Firmicutes
544,ERS235583,ET-Firmicutes
545,ERS235584,ET-Firmicutes
546,ERS235585,ET-Firmicutes
547,ERS235586,ET-Firmicutes
548,ERS235587,ET-Firmicutes
549,ERS235588,ET-Firmicutes
550,ERS235589,ET-Firmicutes
551,ERS235590,ET-Firmicutes
552,ERS235591,ET-Firmicutes
553,ERS235592,ET-Firmicutes
554,ERS235594,ET-Firmicutes
555,ERS235595,ET-Firmicutes
556,ERS235596,ET-Firmicutes
557,ERS235597,ET-Firmicutes
558,ERS235598,ET-Firmicutes
559,ERS235599,ET-Firmicutes
560,ERS235601,ET-Firmicutes
